label,email
ham," re :  dear navroz  thanks for getting back to me . the reason there has been a dialogue ( not , i  should point out , with nick , but with shan millie ) , is that my work is of  quite a large size , and needs to find an appropriate home . the question is  should it go into a compilation book , or somehow be published in the  magazine ? i was awaiting some feedback from risk on the best course of  action .  we were hoping to publish a cut down version in the magazine , and a full  version in risk ' s upcoming "" game choices "" book , but i ' ve heard nothing from  your organisation until now ( and i fear we ' ve now missed the boat on the game  choices book deadline ) . i ' m attaching the full internal enron document for  your reference , and i ' d appreciate your thoughts on how best to put the  article in your journal . since the subject is highly diagrammatic , i ' m  concerned that 4000 words may be too many when coupled with diagrams ! ( it is  currently only 6000 words , but is around 25 a 4 pages long . ) if you can give  me some guidance on the issue of publishing extensive diagrams as part of the  text , i ' ll get to work chopping my work around until it suits your preferred  format .  shan millie gave me some good feedback on general points of style and clarity  in my writing , but incorporating these would actually make the article longer  rather than shorter . i think you ' d better look the document over before i do  further work on it .  i look forward to your response .  many thanks ,  steve leppard  enron capital & trade resources corp .  from : "" navroz patel ""  04 / 28 / 2000 03 : 25 pm  please respond to "" navroz patel ""  to :  cc :  subject :  dear steven ,  my name is navroz patel and i am the technical assistant at risk magazine . i  am contacting you with regards to your initial dialogue with nick dunbar .  we would be grateful if you could email to both of the addresses below a  copy of your ' real options ' article for our consideration .  please note that articles must have full references , be approximately 4000  words in length , and the attachment should be in ms word or pdf format .  npatel @ risk . co . uk  ndunbar @ risk . co . uk  ?  thank you for your interest .  yours sincerely ,  navroz patel .  technical assistant , risk magazine ."
ham," re : best wishes for the holiday period  ehud ,  best holiday wishes to you and your family .  i owe you an apology for dropping the ball on the conference  i have approached a number of executives at enron . greg whalley speaks in  london a day  before . louise kitchen , the mother of enrononline will ski ( this is the week  of school holidays in england and her family will come here ) .  one suggestion i want to make is rick causey . i talked to him and he is  willing to  be a speaker . he is a very senior and important executive of enron and a ut  grad .  any thoughts ?  vince  "" ehud i . ronn "" on 12 / 19 / 2000 02 : 09 : 41 pm  to : vince . j . kaminski @ enron . com  cc :  subject : best wishes for the holiday period  vince ,  at the conclusion of another year , and prior to my departure tomorrow with  my family for our annual florida vacation , best wishes for the holiday  period to you and your family .  regarding the spring 2001 energy finance conference participation , we still  lack that all - important 2 / 22 enron energy - related high - level keynote  speaker . let me know if you think we should look elsewhere .  best regards ,  ehud  ehud i . ronn  jack s . josey professor in energy studies  department of finance  mccombs school of business  university of texas at austin  austin , tx . 78712 - 1179  voice : ( 512 ) 471 - 5853  fax : ( 512 ) 471 - 5073  internet : eronn @ mail . utexas . edu "
ham," re : term project :  brian ,  no problem .  vince  "" brian corbett nelson "" on 04 / 26 / 2001 08 : 15 : 14 pm  please respond to  to :  cc :  subject : re : term project :  vince , i finally joined a team that only had two members . it looks like our  paper will only be about 13 to 15 pages . we were wondering that since our  team is less than half the size of some of the other teams , if you could  possible relax the length requirement ?  thanks ,  brian nelson  - - - - - original message - - - - -  from : vince . j . kaminski @ enron . com [ mailto : vince . j . kaminski @ enron . com ]  sent : wednesday , april 11 , 2001 3 : 54 pm  to : nelsonb @ rice . edu  subject : re : term project :  brian ,  the last class + plus a few days ( depending on when i have  to submit the grades ) .  vince  "" brian corbett nelson "" on 04 / 11 / 2001  03 : 35 : 14 pm  please respond to  to :  cc :  subject : re : term project :  mr . kaminski ,  i had an interview last thusday in dallas and could not attend class . did  you set a project deadline ?  thanks ,  brian nelson  - - - - - original message - - - - -  from : vince . j . kaminski @ enron . com [ mailto : vince . j . kaminski @ enron . com ]  sent : wednesday , april 11 , 2001 3 : 22 pm  to : isranir @ rice . edu ; demianen @ rice . edu ; tbal 93 @ yahoo . com ;  maue @ rice . edu ; loughrid @ rice . edu ; jblantonjr @ yahoo . com ;  gjohnson @ rice . edu ; emchombo @ rice . edu ; nazareth @ rice . edu ;  vanstone @ rice . edu ; ganguzza @ rice . edu ; nelsonb @ rice . edu ;  sssmith @ rice . edu ; wheelock @ rice . edu ; westmore @ rice . edu ;  gaudette @ rice . edu ; otaylor @ rice . edu ; dikeman @ rice . edu ; jettke @ rice . edu ;  litton @ rice . edu ; chilkina @ rice . edu ; helms @ rice . edu ; wankhade @ rice . edu ;  monfan @ rice . edu ; kostya @ rice . edu ; pcp @ rice . edu ; yueguo @ rice . edu ;  nlwbio @ rice . edu ; zhangn @ rice . edu ; rishad @ rice . edu ; yoshiura @ rice . edu ;  howard @ rice . edu ; dayangd @ rice . edu ; wuwei @ rice . edu ; so @ rice . edu ;  wooddy @ rice . edu ; lamas @ rice . edu ; tbalestrery @ houston . rr . com ;  hingoran @ rice . edu ; planck @ rice . edu  cc : vkaminski @ aol . com ; vince . j . kaminski @ enron . com ;  jason . sokolov @ enron . com  subject : term project :  this is the list of projects for the members of the "" quant "" team .  if you are working on different project , please , ignore this message .  please , develop in a spreadsheet solutions / examples for the following :  1 . black - scholes formula  2 . black ' s formula  3 . develop a spreadsheet to simulate price trajectory using :  a . gbm  b . gbm + jump ( formula 2 . 16 in the book , figure 2 . 7 )  c . mean reversion + jump ( formula 2 . 17 , figure 2 . 8 )  4 . schwartz single factor model ( formula 6 . 12 )  5 . develop models corresponding to the figures 7 . 1 , 7 . 3 , 7 . 5 , 7 . 6 , 7 . 8  vince"
ham," launch issue / the risk desk  dear trading and risk exec : i ' ve attached the premier issue of our newest  publication covering the traded energy markets - - the risk desk - - sister  publication to our leading weekly , the desk . the attached issue ( a pdf file )  is of course free and has zero obligation .  the publication was created in response from readers like you , who requested  a less dense , more upbeat and generally more readable publication dedicated  to original news , analysis , and commentary on price , credit , operational and  market risk management in the evolving energy trading space .  and , because you ' re either a current or recent subscriber to one of our other  publications , we ' re offering you a very special charter rate to our new  publication - - that is if you contact us before may 27 th . contact us in the  next 30 days and subscribe to a full year of the risk desk for only $ 199 ! !  after may 27 , we will of course ratchet up the price , good capitalists that  we are .  but for now , enjoy your free , no - obligation issue to the risk desk . we look  forward to hearing from you , soon .  regards ,  john sodergreen  john sodergreen  editor - in - chief  scudder publishing group , llc  ph : 410 / 923 - 0688  fax : 410 / 923 - 0667  johns @ scudderpublishing . com  the desk , the risk desk , power executive  the bandwidth desk , energy ebusiness  - april 27 . 01 risk . pdf"
ham," summer associate offers for full - time associate positions  fyi  - - - - - - - - - - - - - - - - - - - - - - forwarded by stinson gibner / hou / ect on 09 / 21 / 2000  01 : 09 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  celeste roberts  09 / 20 / 2000 05 : 30 pm  to : stephen r horn / hou / ect @ ect , tony mataya / hou / ees @ ees , kevin  kuykendall / hou / ect @ ect , stan dowell / hou / ees @ ees , patrick hickey / enron  communications @ enron communications , scott porter / hou / ees @ ees , stinson  gibner / hou / ect @ ect , heather kroll / hou / ect @ ect , mark s palmer / enron  communications @ enron communications , ermes  melinchon / enron _ development @ enron _ development , rick  sierra / enron _ development @ enron _ development , steve pearlman / enron  communications @ enron communications , tammy l mulrooney / hou / ect @ ect , gustavo  junqueira / hou / ect @ ect , catherine simoes / hou / ees @ ees , stephen  thome / hou / ect @ ect , james w lewis / hou / ees @ ees , antonio jenkins  lara / corp / enron @ enron , doug rotenberg / enron _ development @ enron _ development ,  samer takriti / enron communications @ enron communications , william  keeney / hou / ect @ ect , david j botchlett / hou / ect @ ect , larry ciscon / enron  communications @ enron communications , jeanette reese / hou / ees @ ees , lance  mccarthy / epsc / hou / ect @ ect , rudi zipter / hou / ect @ ect , thomas  suffield / na / enron @ enron , mark meier / corp / enron @ enron , bill w  brown / hou / ect @ ect , stinson gibner / hou / ect @ ect , grant masson / hou / ect @ ect  cc :  subject : summer associate offers for full - time associate positions  listed below are the summer associates who will receive offers to join us  full - time . offers were made verbally on friday , september 15 and the offer  letters were mailed out on tuesday , september 19 .  the associate offers by school are as follows :  rice  andrew adams  shruti gandhi - gupta  kenneth jett  jason sokolov  darren sanders  nyu  lucia barrantes  chicago  terrell benke  texas a & m  mike seely  ucla  vladimir blinov  * * irina liskovets - visa issues , working with london to resolve and see if  placement there is possible  michigan  luis bravo  sherman "" alex "" james  ut  cantekin dincerler  steven luong  vanderbilt  charles donovan  chung taek oh  maxim phillippov  georgetown  andrea gonzalez  cornell  miriam kaggwa  mit sloan  josef lieskovsky  yale  braden mcelroy  stanford  guiseppe paleologo  darden  ning pan  thunderbird  steve west  lsu  datren williams  houston  sevil yaman"
ham," re : programming for rdi model  michelle ,  i ' ve just met with cecil and christin . we have divided the code into 3 parts ,  and cecil ' s  looking at the first part . cecil , helen and i will meet again tomorrow  morning to go through  the logic of the other two parts . since cecil is devoted completely to this  project , once he  starts coding , it should not take too long .  best ,  alex"
ham," multi trigger  vince ,  jere asked that i forward you a copy of the draft presentation on the multi  trigger transactions .  please call if you have any questions .  54426  joana"
ham," approval for restricted websit : web _ research _ pub  per kevin moore , please approve elena chilkina ' s access for the following  restricted website : web _ research _ pub .  thank you ,  information risk management ( et )  - - - - - - - - - - - - - - - - - - - - - - forwarded by information risk management / hou / ect on  05 / 02 / 2000 09 : 05 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  security resource request system  directory line item pending access processing  directory name : website : web _ research _ pub  service type : grant  expiration date :  comments : will send to vince kaminski for approval .  security processing  processing status :  e - mail message :  comments / justification :  general information request : kgme - 4 jtf 4 c  requested by : kevin g moore / hou / ect phone : 713 / 853 - 4710  requested for : elena chilkina / hou / ect employee type :  company : 100038 rc # : 0011  priority : high  comments / justification : she will need the same as michael sergeev . a few has  been listed there may be  some others that are not listed . please apply .  editing history ( only the last five ( 5 ) are shown )  edit # past authors edit dates  1 information risk management 05 / 02 / 2000 09 : 03 : 15 am"
ham," re : vincent tang  vince - thanks so much for the job description . i forwarded it to our legal  counsel for their review , and they were very pleased with it .  they said it really helped them to understand what vincent is actually doing ,  which will enable them to better prepare his case .  thanks again .  candace  vince j kaminski  01 / 07 / 2000 12 : 20 pm  to : candace womack / hou / ect @ ect  cc : vince j kaminski / hou / ect @ ect  subject : re : vincent tang  candace , .  sorry for additional delay . editing took a long time .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 01 / 07 / 2000  12 : 18 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  vince j kaminski  01 / 04 / 2000 12 : 11 pm  to : candace womack / hou / ect @ ect  cc : vince j kaminski / hou / ect @ ect  subject : re : vincent tang  candace ,  sorry for the delay . i shall edit the job description and forward it to you  later today .  vince  candace womack  01 / 04 / 2000 11 : 24 am  to : vince j kaminski / hou / ect @ ect  cc : rebecca shelp , "" r . van ravenswaay ""  , margaret daffin / hou / ect @ ect , jane  allen / hou / ect @ ect  subject : vincent tang  vince - will you please review the following job description which tindall research analyst )  overview : provides research support for specific projects and programs .  essential functions :  projects may involve collecting and analyses data to formulate  recommendations , policies or solutions .  marginal functions :  may involve mathematical or simulation models of problem for solution by  computers or other methods : analyzes problem in terms of information and  conceptualizes and defines problem .  studies information and selects plan from competitive proposals that  affords maximum probability of profit or effectiveness in relation to  cost or risk .  prepares model of problem in form of one or several equations that  relates constants and variables , restrictions , alternatives , conflicting  objectives and their numerical parameters .  defines data requirements and gathers and validates information applying  judgment and statistical tests .  specifies manipulative or computational methods to be applied to model .  performs validation and testing of model to ensure adequacy , or  determines need for reformulation .  prepares reports to management defining problem , evaluation , and  possible solution .  evaluates implementation and effectiveness of research .  may design , conduct , and evaluate experimental operational models where  insufficient data exists to formulate model .  may specialize in research and preparation of contract proposals  specifying competence of organization to perform research , development ,  or production work .  may develop and apply time and cost networks , such as program evaluation  and review techniques ( pert ) , to plan and control large projects .  may work in association with engineers , scientists , and management  personnel in business , government , health , transportation , energy ,  manufacturing , environmental sciences or other technologies .  i look forward to your response .  rebecca shelp  legal assistant  tindall & foster , p . c .  600 travis , suite 2800  houston , texas 77002 - 3094  telephone : ( 713 ) 229 - 0636 ext . 101  fax : ( 713 ) 228 - 1303  email : rshelp @ tindallfoster . com"
ham," interview - credit derivatives  dear vince :  thank you for the invitation yesterday . it was a pleasure to meet you all and learn more about the group , it ' s structure and to some extent what you are involved in . please extend my thanks to all of them .  i am particularly interested in the credit swap trading platform that enron has recently started . such a platform will provide unique visibility into the credit markets . as you suggested i tried to learn more about this from tanya . i would like to learn more and if possible meet other people more directly linked to the effort .  just simple instruments like credit swaps will require serious modelling capability for the pricing and the hedging of these apparently simple intruments . the market visibility i mention above can be explored through credit derivatives trading successfully if enron possesses superior ( vis a vis morgan stanley , salomon smith barney , chase manhatan , etc . ) modelling technology in credit derivatives . i can and would like to consider the possibility of doing this for enron . i would like to help develop and participate in putting together that business .  as i mentioned to you i have done some work in credit derivatives and am deeply familiar with virtually all the work of the principal academics in credit derivatives namely : duffie , lando , tuffano , duffee , das , lelland , etc . i have read carefully most of their work ( published as well as working papers ) on the subject to date .  i look forward to hearing from you .  best regards  joao"
ham, request submitted : access request for  pinnamaneni . krishnarao @ enron . com  you have received this email because the requester specified you as their vp .  please click  approval to review and act upon this request .  request id : 000000000010552  request create date : 12 / 18 / 00 8 : 53 : 23 am  requested for : pinnamaneni . krishnarao @ enron . com  resource name : vpn  resource type : applications
ham," re : summer internships at enron  vince :  thanks . yes it is unfortunate that we were not able to quickly identify who  the interested tiger team students were . we will go ahead and process an  offer letter for kim and get it to her immediately .  also , thanks for agreeing to help out with stanford . hopefully we will get a  few good ones !  regards ,  celeste  vince j kaminski  03 / 01 / 2001 09 : 32 am  to : celeste roberts / hou / ect @ ect  cc : vince j kaminski / hou / ect @ ect  subject : summer internships at enron  celeste ,  i have just talked to kim . i told her she will receive one .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 03 / 01 / 2001  09 : 31 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  vince j kaminski  03 / 01 / 2001 09 : 25 am  to : celeste roberts / hou / ect @ ect  cc : kristin gandy / na / enron @ enron , christie patrick / hou / ect @ ect , vince j  kaminski / hou / ect @ ect , piazze @ wharton . upenn . edu  subject : summer internships at enron  celeste ,  it seems that the process lasted too long for some students  and only kim whitsel is interested in the internship at this point .  her resume has been forwarded to you .  i am enclosing it just in case .  thanks for your help .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 03 / 01 / 2001  09 : 20 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  fap on 02 / 23 / 2001 02 : 28 : 48 pm  to : "" ' vkamins @ enron . com ' ""  cc : "" ' piazze @ wharton . upenn . edu ' ""  subject : summer internships at enron  vince :  thank you to you , ken and christie for coming to campus for the enron tiger  team mid - project review . the students are working hard and appreciate your  insight and suggestions to the project . thank you for your support of the  wharton school .  kim whitsel ( whitselk @ wharton . upenn . edu ) of tiger team 1 has informed me  that she is very much interested in a summer internship at enron this year .  i don ' t believe some of the students understood the process you had setup  for them at enron as part of the tiger team . being concerned with having  summer employment , they interviewed with other firms and ultimately accepted  positions . the students asked that i express to you that this does not mean  they are not interested in full time work at enron next year . i apologize  and take responsibility for the lack of communication in this regard . i  think it is a lesson learned and perhaps , in the future , we can make the  agreement to students understood in advance of their "" dedicated interview  week "" and eliminate their need to interview at all . this can also be an  added advantage of applying to be a member of the tiger team .  please let me know if you have any questions and exactly how kim whitsel  should proceed .  thank you ,  donna piazze  program director  field application project  the wharton school  univ . of pennsylvania  215 . 573 . 8394 fax 215 . 573 . 5727  fap @ management . wharton . upenn . edu  piazze @ wharton . upenn . edu"
ham," re : lunch  przepraszam , ze tak dlugo nie odpowiadalem . nasz team mial zaplanowany  wspolny wieczor w piatek , ale nic nie bylo pewne , poniewaz mamy duzo osob sie  rozchorowalo . z tegoz powodu wieczor zostal odwolany , a ja jestem wolny .  jesli nadal nie ma pan planow na piatkowy wieczor , to ja jestem jak  najbardziej za spotkaniem .  j  vince j kaminski  12 / 19 / 2000 10 : 05 am  to : julius zajda / lon / ect @ ect  cc :  subject : re : lunch  juliusz ,  sorry , i have to cancel the lunch meeting today .  pleas , give a call sometimes today . maybe we can meet for drinks friday  afternoon .  i am taking the next week off .  vince  julius zajda  12 / 19 / 2000 09 : 25 am  to : vince j kaminski / hou / ect @ ect  cc :  subject : lunch  dzien dobry ,  mam nadzieje , ze nic sie nie zmienilo i jestesmy umowieni na dziesiejszy  lunch . proponuje sie spotkac o godzinie 12 . 00 na parterze obok biurka  "" security ladies "" ( bo wiem gdzie to jest ) . ubrany jestem w czarne spodnie ,  bezowe buty i szara bluze . nie jestem pewien czy bede mogl przeczytac  potwierdzenie , bo od 10 do 11 . 45 przeprowadzam szkolenie .  juliusz"
ham," re : hello  gerry ,  let me review my calendar in the beginning of the next year and i shall  e - mail you  with a suggested date . my assistant will update my schedule for 2001 in the  first week  of january and i shall be able to select a date for ypur presentaton .  vince kaminski  "" sheble , g . b . "" on 12 / 21 / 2000 10 : 43 : 50 am  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : re : hello  dear mr . kaminski  please excuse the cancellation due to illness . the students do not care who  they infect near the end of the semester , they just want to get done !  here is my available schedule for next year . i am now overloaded next week  with tasks to complete the semester . i do hope that we can reschedule  during the first quarter next year .  i would note that my schedule is most free for thursday or friday . i could  fly out late wednesday night .  cordially ,  gerry  teaching schedule  m 11 - 12  t and r 10 - 12 and 2 - 4  t 12 - 2 ep & es seminar  m 6 - 8  t 6 - 8  w 6 - 8  ( r = thursday )  workshops :  jan 12 - 13 des moines  jan 26 - 27 des moines  feb 9 - 10 des moines  ieee wpm conference  feb 28 - 31 columbus , ohio"
ham," draft from the editor with questions . i ' ll call  vince ,  attached is the editor ' s latest edits on my draft . there are a couple of  things i ' d like to discuss with you and will call right after lunch .  john  - 134 martin 2 . doc  john d . martin  carr p . collins chair in finance  finance department  baylor university  po box 98004  waco , tx 76798  254 - 710 - 4473 ( office )  254 - 710 - 1092 ( fax )  j _ martin @ baylor . edu  web : http : / / hsb . baylor . edu / html / martinj / home . html"
ham," re : software license  oh , ok , i didn ' t know that . - wish i lived in france for august then . as  long as it is ok with you that we don ' t get this purchased soon . i just  wanted to make sure i did everything i could to get the software for you .  thanks ,  karla  vince j kaminski  08 / 08 / 2000 09 : 35 am  to : karla feldman / hou / ect @ ect  cc : vince j kaminski / hou / ect @ ect , stinson gibner / hou / ect @ ect  subject : re : software license  karla ,  august is a vacation month in france .  i would not count on a response any time soon .  vince  from : karla feldman on 08 / 08 / 2000 09 : 34 am  to : geman @ dauphine . fr  cc : vince j kaminski / hou / ect @ ect , stinson gibner / hou / ect @ ect  subject : software license  ms . geman ,  i am just following up to see if you had received my previous message  forwarded below and whether you have a response so that we can move forward  with this contract ?  thank you ,  karla feldman  - - - - - forwarded by karla feldman / hou / ect on 08 / 08 / 2000 09 : 23 am - - - - -  karla feldman  07 / 28 / 2000 01 : 41 pm  to : geman @ dauphine . fr  cc :  subject : software license  dear ms . geman ,  i met with vince kaminski yesterday regarding picking back up with the  license agreement we were working on back in march . he relayed some  additional requirements which need to be added to the agreement , which  include the following :  1 . the price agreed upon is $ 90 , 000 .  2 . d - g will provide system support .  3 . no later than 12 months of execution of the agreement , d - g will provide  the source code to enron . in the meantime , the source code is to be in  escrow . additionally , the source code would be released sooner than the 12  months if any of the following conditions occur : ( i ) d - g goes out of  business ; ( ii ) d - g is unable to provide effective technical support ; or ( iii )  if d - g agrees to release it sooner .  before i have our attorney add these things to the agreement , we need to  discuss the escrow situation . vince mentioned that you had suggested that  your attorney keep the software in escrow . is your attorney a u . s .  attorney ? it seems like i may have recalled that way back in march you might  have said you had a friend or relative that was an attorney . is that the  same person ? does this attorney work for a large firm , small firm , or solo  practitioner ? basically , if you could just provides some additional  information about your attorney , i would appreciate it .  we normally would use an escrow company to put the software in escrow . we  have dealt with a company here in the u . s . called dsi technology . i will  check into that pending your answer regarding your attorney .  once we decide what we want to do regarding placing the software in escrow ,  we will red - line the agreement to reflect such changes and e - mail it back to  you for your review .  i look forward to hearing from you .  karla feldman  enron corp .  contract administration  ( 713 ) 646 - 7554"
